,name,price,description,link
20,Моноблок apple iMac 27 retina 5k в Москве,75000,"Apple iMac 5k 27 2017 Mne92.
(3.4 Ghz, 8 Gb, 1Tb).
Куплен в 2019 году в biggeek.
Большой экран (смотреть фильмы), отличный звук (слушать музыку). Также использовался для учебы, работы и интернет-серфинга.
Обновлен до macos Ventura 13.6.4.

Без сколов и царапин, использовался аккуратно и не очень активно. Проблем в использовании никогда не возникало, не зависал, не ломался и не ремонтировался.
Внизу по углам имеются небольшие пылевые затемнения, как у всех моноблоков apple со временем (фото прилагаю), заметны только на белом фоне.
Не планировала продавать, но на работе ввели запрет на использование техники apple, стало не удобно.

Комплект: моноблок, клавиатура.
Прилагаю комплект logitech (клавиатура и мышь), которыми пользовалась сама, тк родная мышь была крайне неудобна.
Коробки нет.

Доставку не организую, забираете самостоятельно. Оплата только переводом.",https://www.avito.ru/moskva/nastolnye_kompyutery/monoblok_apple_imac_27_retina_5k_3827721396
21,Моноблок iMac 27 retina 5K 2017 8Гб RAM 1TB в Москве,75000,"Продам моноблок Apple iMac 27’ 2017 года. Версия на intel Core i5-7500 с видеографикой Radeon Pro 570. Оперативная память 8Гб. Диск на 1ТБ.
Отличный компьютер для личного пользования, тянет все офисные программы и видеомонтаж. Продаю в связи с покупкой нового компьютера.

Мышь и клавиатура Не идут в комплект. Коробка также отсутствует. Внешнее состояние моноблока отличное, царапины и сколы отсутствуют, экран и матрица в полном порядке. Единственное, расшаталось и перестало работать гнездо для наушников, но это решается переходником Usb-C-3,5 Jack, который я отдам вам вместе с компьютером.

Без обмена и торга. Для встречи писать в сообщения, на звонки отвечаю редко из-за включённого блокировщика неизвестных номеров.",https://www.avito.ru/moskva/nastolnye_kompyutery/monoblok_imac_27_retina_5k_2017_8gb_ram_1tb_3795663214
22,Apple iMac Late 2015 (активирован в 2017) в Москве,120000,"Apple iMac Late 2015 27 inch, куплен и активирован в конце 2017 года. Состояние отличное, абсолютно все полностью рабочее. Самая топовая комплектация:
Дисплей — Retina 5K, 27 дюймов (5120 х 2880).
Процессор — 4ghz 4-ядерный Intel Core i7.
Память — 32гб 1867 mhz Ddr3.
Графика — Amd Radeon R9 M395X 4гб.
Ssd — Fusion Drive 3.12TB.",https://www.avito.ru/moskva/nastolnye_kompyutery/apple_imac_late_2015_aktivirovan_v_2017_3824371773
23,"iMac 27 5K Retina 2017, Radeon Pro 580 8 GB в Москве",109900,"Продается мощный iMac 27"" 5k 2017 Retina i5 3.8 ггц 2,12Tb Fusion Drive, 8 Gb Ram, Radeon Pro 8Gb Vram.

Техническое состояние идеальное, внешнее — отличное.

IMac полностью сброшен к заводскому состоянию. От icloud отвязан, никаких паролей нет. Установлена чистая операционная система.

Также возможна дополнительная установка операционной системы Windows.

Преимущества iMac 5K 2017 над iMac 5K 2015.

1. Thunderbolt 2 — всё! Теперь балом правит разъем с далеким и светлым будущим: два многофункциональных Usb-C с поддержкой Thunderbolt 3. Скорость возросла в 2 раза — до бешеных 40 Гбит/с.

2. Обновленный дисплей, выполненный по новой технологии. Поддерживается 10-битный дизеринг, отображается миллиард цветов. И самое главное: ярче в полтора раза. Никаких бликов.

3. До 50% быстрее Ssd (в том числе Fusion Drive), перешли на стандарт Pci-E 3.0. Поддерживается конфигурация Ssd до 2 Тб.

4. Fusion Drive установлен во всех базовых конфигурациях.

5. Новые процессоры 7-го поколения с увеличенными частотами во всех режимах. Поддерживается аппаратное декодирование 10-битного Hevc видео.

6. Максимальный объем оперативной памяти увеличился в 2 раза: 64 Гб. Но самое главное — новые планки Ddr4 (против Ddr3 у предыдущего поколения).

За отдельную цену можем продать комплектные клавиатуру и мышь Аррle.

Любые проверки при покупке (офис в центре, рядом с метро).

Гарантия 3 месяца (есть возможность купить расширенную до 12 мес).

Оплата.

Оплатить товар можно в любом из наших магазинов после полной проверки работоспособности.

Для физических лиц:

— наличными со скидкой 3% (цена в объявлении указана уже с учетом скидки).

— банковской картой через терминал.

Для юридических лиц:

— по счету с Ндс (наценку уточняйте у менеджера).

— по счету без Ндс (наценку уточняйте у менеджера).

— корпоративной банковской картой через терминал.

При покупке товара физическим лицом выдается товарный и кассовый чек. При покупке юр. Лицами — полный комплект закрывающих документов.

Доставка.

По Москве есть собственная курьерская доставка с оплатой после проверки, а также доставка авито-курьером.

По России возможна отправка авито-доставкой (через Boxberry) или любыми транспортными компаниями (Сдэк, Пэк, ""Деловые линии"" и др.).

Характеристики:

Модель: iMac A1419 Mned2ll/A, iMac 27"" 5K Retina 2017, iMac 27"" 5K Retina, iMac 27"" Retina 2017, iMac 27"" 2017, iMac 5K Retina, iMac 27"", iMac 2017, Аймак 27"" 5К Ретина 2017, Аймак 27"" 5К Ретина, Аймак 27"" Ретина 2017, Аймак 27"" 2017, Аймак 5К Ретина, Аймак 27"", Аймак 2017.

Процессор: 4-ядерный Intel Core i5 3,8 ггц (I5-7600), Turbo Boost 2.0 до 4.1 ггц,

Память: 8 Gb PC4-19200 Ddr4 2400 мгц.

Жесткий диск: Fusion Drive 2,12 Тб.

Экран: 5K Retina 5120x2880 точек.

Видеокарта: Amd Radeon Pro 575 — 8 GB.

Вывод видео: до одного внешнего дисплея 5120x2880 (5K) при 60 Гц; два 3840x2160 (4K Uhd) внешних дисплея с частотой 60 Гц; или два 4096x2304 (4K) внешних дисплея с частотой 60 Гц.

Беспроводные интерфейсы: Wi-Fi 802.11ac, Bluetooth 4.2.

Порты и интерфейсы: 2x Thunderbolt 3 (Usb-C), 4x Usb 3.0, картридер Sdxc, Gigabit Ethernet, ИК-приёмник.

Аудио: Встроенный динамик, аудиовход mini jack 3,5 мм (совмещенный цифровой и аналоговый вход), выход на наушники (совмещенный цифровой и аналоговый выход).

Размеры и вес:

Ширина: 65 см.

Глубина: 20,3 см.

Высота: 51,6 см.

Вес: 9,54 кг.

Помимо данного устройства у нас большой выбор техники Apple. Со всем ассортиментом можно ознакомиться в профиле магазина на Avito.

Так же у нас есть Trade-in (обмен вашей техники Apple на нашу с вашей или нашей доплатой). Сумма доплаты зависит от модели, технического и внешнего состояния устройства.",https://www.avito.ru/moskva/nastolnye_kompyutery/imac_27_5k_retina_2017_radeon_pro_580_8_gb_2457541332
24,Моноблок apple iMac 27 inch в Москве,100000,"В идеале, не вскрывался, он комплектный.

Куплен осенью 2018 года, был в максимально аккуратном пользовании.
Причина продажи: хочу купить макбук, чтобы иметь возможность работать вне дома.

Все наклейки сниму с монитора перед продажей, они не оставляют липкий слой.

4,2 ghz 4‑ядерный процессор Intel Core i7.
Графика Radeon Pro 580 8 ГБ.
Память. 64 ГБ 2400 mhz Ddr4.
Retina 5r 27 inch 2017.",https://www.avito.ru/moskva/nastolnye_kompyutery/monoblok_apple_imac_27_inch_3137592777
25,iMac 27 retina 5k 2017 в Москве,113700,"В очень хорошем состоянии, жирная конфигурация!
Использовался лишь в офисе для работы в таблицах и просмотров видосиков).
Топовый фьюжн драйв(не до 64гб): 2000gb Hdd + 128 Ssd.
Видеокарта Radeon Pro 580 8gb,
Оперативная память увеличена до 16gb.
Комп справляется со всеми современными задачами, за все время пользования ни разу не слышал звук работы кулеров.
Из минусов есть мало заметные царапки, если присматриваться.
Приезжайте, смотрите, быстрым торг!",https://www.avito.ru/moskva/nastolnye_kompyutery/imac_27_retina_5k_2017_3740024583
26,"Apple iMac 27 2017 5k, core i7 4.2, 64гб в Москве",179999,"IMac 27 2017 5k, core i7 4.2, 64гб.
580 8гб, ssd 2 Tb в идеальном состоянии. Отпилена нога под кронштейн Vesa. Кронштейн в подарок.",https://www.avito.ru/moskva/nastolnye_kompyutery/apple_imac_27_2017_5k_core_i7_4.2_64gb_2869028973
27,iMac pro 27 2017 в Москве,240000,"Продаю свой imac pro 27. Использовался для фото ретуши и видео обработки. Спокойно работает с последним фотошопом с фишками на AI, никаких нареканий. С Final cut pro шуршал бодро, конвертация быстрая. По сути, почти полный аналог m1, но не m2))).
Коробка от него в наличии. Точнее, две коробки. Оригинальная и защитная, которая была сверху первой для транспортировки.",https://www.avito.ru/moskva/nastolnye_kompyutery/imac_pro_27_2017_3670073950
28,"Моноблок iMac Pro 27"" на мощных Xeon процессорах в Москве",156000,"Легендарная мощный зверь которая до сих пор актуальная это Apple iMac Pro 27"" дюймов и 5К.

Выкупаем и доставляем из США.
Как новые, восстановленные и б/у.

Настройте свой iMac Pro, выбрав: состояние, жесткий диск, память, Видеокарту дополнительно можно установить Windows.

Первый вариант:
iMac Pro 27-inch (Retina 5K) 3.0ghz 10-Core Xeon (Late 2017). — Apple Mhlv3ll/A.
На борту десяти ядерный процессор.
Память 512гб.
Оперативная память 16гб.
Видеокарта 8гб Vega 56.
В комплекте мышка-клавиатура ( English US).
Refurbished ( восстановленный).
Состояние: отличное.
Цена:156000р.",https://www.avito.ru/moskva/nastolnye_kompyutery/monoblok_imac_pro_27_na_moschnyh_xeon_protsessorah_3652844437
29,Apple iMac 27 retina 2017 процессор i7 в Москве,110000,"В отличном состоянии без дефектов! Любые проверки.
В комплекте с Magic keyboard 2 (расширенная) и Magic touchpad 2.
Intel I7 4,6 ghz.
Память 32 Гб.
Ssd 500 Гб.
Radeon 580.
Коробки нет.",https://www.avito.ru/moskva/nastolnye_kompyutery/apple_imac_27_retina_2017_protsessor_i7_3695152807
