,name,film_type,rating,html
245,Марокканская мафия: Татта,"2023, Нидерланды, Криминал","7,5",https://www.ivi.ru/watch/521581
246,Больше чем любовь (с казахскими субтитрами),"2023, Казахстан, Приключения","7,7",https://www.ivi.ru/watch/510678
247,Чарли-пуля,"2023, США, Боевики","7,9",https://www.ivi.ru/watch/charli-pulya
248,Круче некуда,"2023, Китай, Боевики","8,1",https://www.ivi.ru/watch/190204
249,Хвостатые пришельцы,"2023, США, Фантастика","8,0",https://www.ivi.ru/watch/513709
250,Наследие,"2023, Россия, Драмы","5,0",https://www.ivi.ru/watch/515308
251,Пилигрим,"2023, США, Триллеры","4,9",https://www.ivi.ru/watch/513120
252,Мэгги Мур(ы),"2023, США, Комедии","6,8",https://www.ivi.ru/watch/491964
253,Как я стал ребенком,"2023, Россия, Документальные","8,0",https://www.ivi.ru/watch/514622
254,Коллектив,"2023, США, Боевики","7,7",https://www.ivi.ru/watch/527012
255,"Я учёный, я спасаю жизни","2023, Россия, Документальные","8,1",https://www.ivi.ru/watch/ya-uchyonyij-ya-spasayu-zhizni
256,Динамо. Ленинград,"2023, Россия, Документальные","7,9",https://www.ivi.ru/watch/515305
257,Побег с острова,"2023, США, Ужасы","8,0",https://www.ivi.ru/watch/526163
258,Пропавшие в ночи,"2023, США, Ужасы","7,5",https://www.ivi.ru/watch/523953
259,"Папа, не звезди!","2023, Франция, Комедии","7,8",https://www.ivi.ru/watch/papa-ne-zvezdi
260,Иви,"2023, Великобритания, Ужасы","7,6",https://www.ivi.ru/watch/523815
261,Клык,"2023, США, Триллеры","7,4",https://www.ivi.ru/watch/521559
262,Корабль призраков,"2023, США, Ужасы","6,5",https://www.ivi.ru/watch/515596
263,Что случилось с Хелен,"2023, США, Детективы","7,4",https://www.ivi.ru/watch/524598
264,Путь справедливости,"2023, США, Вестерн","5,3",https://www.ivi.ru/watch/513658
265,Нандор Фодор и говорящий мангуст,"2023, Великобритания, Комедии","7,9",https://www.ivi.ru/watch/523262
266,Копенгагена не существует,"2023, Дания, Драмы","5,2",https://www.ivi.ru/watch/513743
267,Бесстрашные летуны,"2023, Исландия, Комедии","7,9",https://www.ivi.ru/watch/524907
268,Тони и её семья,"2023, Франция, Драмы","8,1",https://www.ivi.ru/watch/524908
269,Комната чудес,"2023, Франция, Драмы","8,0",https://www.ivi.ru/watch/493709
270,Джулс,"2023, США, Фантастика","7,8",https://www.ivi.ru/watch/517204
271,Кошки-мышки,"2023, США, Триллеры","7,6",https://www.ivi.ru/watch/522267
272,Рай для дурака,"2023, США, Комедии","7,6",https://www.ivi.ru/watch/238817
273,Око за око,"2023, США, Вестерн","7,6",https://www.ivi.ru/watch/520716
274,Лучшие дни,"2023, Великобритания, Мюзикл","8,0",https://www.ivi.ru/watch/513710
275,Год отпуска,"2023, Великобритания, Комедии","7,9",https://www.ivi.ru/watch/515284
276,Банк Дэйва,"2023, Великобритания, Комедии","8,0",https://www.ivi.ru/watch/509309
277,Долгожданный рассвет,"2023, Италия, Драмы","6,2",https://www.ivi.ru/watch/dolgozhdannyij-rassvet
278,Джестер,"2023, США, Ужасы","4,6",https://www.ivi.ru/watch/dzhester
279,Империя,"2023, Дания, Драмы","6,8",https://www.ivi.ru/watch/526176
280,Угроза,"2023, Испания, Боевики","6,2",https://www.ivi.ru/watch/524216
281,Шопоголики,"2023, Франция, Комедии","8,1",https://www.ivi.ru/watch/523574
282,Фантом,"2023, Южная Корея, Триллеры","8,1",https://www.ivi.ru/watch/520277
283,"Снег, сестра и росомаха","2023, Россия, Мелодрамы","8,0",https://www.ivi.ru/watch/503400
